SID,name,lat,long,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,stormtype,dtl,date_time,distance,cum_distance
0,CP011950,HIKI,14.5,144.5,25,,,,,,Sys,1232,1950-08-12 00:00:00,0,0
1,CP011950,HIKI,14.9,144.8,25,,,,,,Sys,1183,1950-08-12 06:00:00,54.949296154799676,54.949296154799676
2,CP011950,HIKI,15.2,145.2,25,,,,,,Sys,1129,1950-08-12 12:00:00,54.38470074000873,109.33399689480841
3,CP011950,HIKI,15.5,145.6,25,,,,,,Sys,1076,1950-08-12 18:00:00,54.33648858190376,163.67048547671217
4,CP011950,HIKI,15.7,145.8,25,,,,,,Sys,1048,1950-08-13 00:00:00,30.876860829671415,194.5473463063836
5,CP011950,HIKI,15.9,146.3,45,,,,,,Sys,990,1950-08-13 06:00:00,57.935247626661,252.4825939330446
6,CP011950,HIKI,16.3,146.9,45,,,,,,Sys,913,1950-08-13 12:00:00,78.02003809283603,330.50263202588064
7,CP011950,HIKI,16.6,147.6,45,,,,,,Sys,831,1950-08-13 18:00:00,81.76469344719835,412.267325473079
8,CP011950,HIKI,16.8,148.1,45,,,,,,Sys,774,1950-08-14 00:00:00,57.70966462549359,469.97699009857257
9,CP011950,HIKI,17.5,149.1,45,,,,,,Sys,646,1950-08-14 06:00:00,131.71021018248854,601.6872002810611
10,CP011950,HIKI,18.3,150.1,45,,,,,,Sys,519,1950-08-14 12:00:00,138.23612190470945,739.9233221857705
11,CP011950,HIKI,19.3,151.3,45,,,,,,Sys,376,1950-08-14 18:00:00,168.28336682539594,908.2066890111664
12,CP011950,HIKI,20.1,152.4,45,,,,,,Sys,270,1950-08-15 00:00:00,145.51166566453193,1053.7183546756983
13,CP011950,HIKI,20.7,153.4,45,,,,,,Sys,209,1950-08-15 06:00:00,123.74585987877428,1177.4642145544726
14,CP011950,HIKI,21.4,154.4,45,,,,,,Sys,192,1950-08-15 12:00:00,129.72084112573407,1307.1850556802067
15,CP011950,HIKI,22.3,155.6,45,,,,,,Sys,181,1950-08-15 18:00:00,159.22623966108281,1466.4112953412896
16,CP011950,HIKI,23.0,156.6,75,,,,,,Sys,217,1950-08-16 00:00:00,128.79817950909376,1595.2094748503832
17,CP011950,HIKI,23.7,157.5,75,,,,,,Sys,241,1950-08-16 06:00:00,120.4166731550727,1715.626148005456
18,CP011950,HIKI,24.3,158.4,75,,,,,,Sys,266,1950-08-16 12:00:00,113.1781165266437,1828.8042645320995
19,CP011950,HIKI,24.7,159.6,75,,,,,,Sys,286,1950-08-16 18:00:00,129.3092720281094,1958.113536560209
20,CP011950,HIKI,24.7,160.8,75,,,,,,Sys,308,1950-08-17 00:00:00,121.22558073636372,2079.3391172965726
21,CP011950,HIKI,24.5,161.6,75,,,,,,Sys,322,1950-08-17 06:00:00,83.88356898347409,2163.2226862800467
22,CP011950,HIKI,24.0,162.4,75,,,,,,Sys,324,1950-08-17 12:00:00,98.33264086782738,2261.555327147874
23,CP011950,HIKI,23.6,163.1,75,,,,,,Sys,348,1950-08-17 18:00:00,83.96521676447459,2345.5205439123483
24,CP011950,HIKI,23.3,163.8,75,,,,,,Sys,394,1950-08-18 00:00:00,78.81525705572658,2424.335800968075
25,CP011950,HIKI,22.8,164.7,75,,,,,,Sys,463,1950-08-18 06:00:00,107.56759772802356,2531.9033986960985
26,CP011950,HIKI,22.6,165.6,75,,,,,,Sys,550,1950-08-18 12:00:00,94.96403639306081,2626.8674350891592
27,CP011950,HIKI,22.5,166.5,75,,,,,,Sys,639,1950-08-18 18:00:00,93.0906478137871,2719.9580829029464
28,CP011950,HIKI,22.5,167.4,75,,,,,,Sys,731,1950-08-19 00:00:00,92.45763366261878,2812.415716565565
29,CP011950,HIKI,22.6,168.7,75,,,,,,Sys,865,1950-08-19 06:00:00,133.96362343609061,2946.3793400016557
30,CP011950,HIKI,22.7,169.7,75,,,,,,Sys,968,1950-08-19 12:00:00,103.21957358809952,3049.5989135897553
31,CP011950,HIKI,23.2,170.4,45,,,,,,Sys,1045,1950-08-19 18:00:00,90.71050348985814,3140.3094170796135
32,CP011950,HIKI,23.6,171.5,45,,,,,,Sys,1162,1950-08-20 00:00:00,120.74472990504374,3261.054146984657
33,CP011950,HIKI,24.1,172.4,45,,,,,,Sys,1261,1950-08-20 06:00:00,107.09194475839203,3368.146091743049
34,CP011950,HIKI,24.7,173.7,45,,,,,,Sys,1402,1950-08-20 12:00:00,147.58237392682165,3515.7284656698707
35,CP011950,HIKI,25.3,174.3,45,,,,,,Sys,1475,1950-08-20 18:00:00,90.04033702756935,3605.76880269744
36,CP011950,HIKI,26.0,175.7,45,,,,,,Sys,1630,1950-08-21 00:00:00,160.4714695385331,3766.2402722359734
37,CP011950,HIKI,26.7,176.9,45,,,,,,Sys,1765,1950-08-21 06:00:00,142.67149307156615,3908.9117653075396
38,CP011950,HIKI,27.4,178.0,25,,,,,,Sys,1890,1950-08-21 12:00:00,133.88404386839417,4042.7958091759338
0,CP011957,DELLA,15.0,149.6,25,,,,,,Sys,744,1957-09-01 00:00:00,0,0
1,CP011957,DELLA,15.0,150.5,45,,,,,,Sys,674,1957-09-01 06:00:00,96.66551320476127,96.66551320476127
2,CP011957,DELLA,15.1,151.6,45,,,,,,Sys,590,1957-09-01 12:00:00,118.64123859668642,215.3067518014477
3,CP011957,DELLA,15.2,152.6,45,,,,,,Sys,521,1957-09-01 18:00:00,107.90483518174733,323.21158698319505
4,CP011957,DELLA,15.3,153.5,45,,,,,,Sys,459,1957-09-02 00:00:00,97.18974824554839,420.40133522874345
5,CP011957,DELLA,15.7,154.7,45,,,,,,Sys,365,1957-09-02 06:00:00,136.056179195794,556.4575144245374
6,CP011957,DELLA,16.2,155.8,45,,,,,,Sys,291,1957-09-02 12:00:00,130.08476849838132,686.5422829229187
7,CP011957,DELLA,17.0,157.0,45,,,,,,Sys,239,1957-09-02 18:00:00,155.76994686969923,842.3122297926179
8,CP011957,DELLA,17.7,157.8,45,,,,,,Sys,236,1957-09-03 00:00:00,115.18628933216564,957.4985191247836
9,CP011957,DELLA,18.7,159.1,45,,,,,,Sys,292,1957-09-03 06:00:00,176.694461832998,1134.1929809577816
10,CP011957,DELLA,19.7,160.3,45,,,,,,Sys,221,1957-09-03 12:00:00,168.05582222574932,1302.248803183531
11,CP011957,DELLA,20.7,161.7,45,,,,,,Sys,180,1957-09-03 18:00:00,183.59771475786474,1485.8465179413956
12,CP011957,DELLA,21.7,162.9,75,,,,,,Sys,264,1957-09-04 00:00:00,166.8532383063343,1652.69975624773
13,CP011957,DELLA,22.0,164.4,75,,,,,,Sys,419,1957-09-04 06:00:00,158.36288159649385,1811.062637844224
14,CP011957,DELLA,23.0,165.4,75,,,,,,Sys,538,1957-09-04 12:00:00,151.38536973253534,1962.4480075767592
15,CP011957,DELLA,23.8,166.5,75,,,,,,Sys,670,1957-09-04 18:00:00,143.22686903568749,2105.6748766124465
16,CP011957,DELLA,24.4,167.8,75,,,,,,Sys,817,1957-09-05 00:00:00,147.8597433005937,2253.5346199130404
17,CP011957,DELLA,24.6,168.5,75,,,,,,Sys,891,1957-09-05 06:00:00,74.23743029023359,2327.772050203274
18,CP011957,DELLA,25.0,169.6,75,,,,,,Sys,1010,1957-09-05 12:00:00,119.61099815835138,2447.3830483616252
19,CP011957,DELLA,25.0,170.5,75,,,,,,Sys,1097,1957-09-05 18:00:00,90.69910383901403,2538.0821522006395
20,CP011957,DELLA,25.0,171.5,75,,,,,,Sys,1193,1957-09-06 00:00:00,100.77673863492306,2638.8588908355628
21,CP011957,DELLA,25.1,172.2,75,,,,,,Sys,1264,1957-09-06 06:00:00,71.38638363689832,2710.245274472461
22,CP011957,DELLA,25.3,172.7,75,,,,,,Sys,1319,1957-09-06 12:00:00,55.00251098118217,2765.2477854536432
23,CP011957,DELLA,25.4,173.3,75,,,,,,Sys,1380,1957-09-06 18:00:00,61.30953688174474,2826.557322335388
