SID,name,lat,long,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,stormtype,dtl,date_time,distance,cum_distance
0,EP011949,EP01,20.2,106.3,45,,,,,,Sys,53,1949-06-11 00:00:00,0,0
1,EP011949,EP01,20.2,106.4,45,,,,,,Sys,64,1949-06-11 06:00:00,10.435580538512381,10.435580538512381
2,EP011949,EP01,20.2,106.7,45,,,,,,Sys,94,1949-06-11 12:00:00,31.306737825343212,41.742318363855595
3,EP011949,EP01,20.3,107.7,45,,,,,,Sys,198,1949-06-11 18:00:00,104.91301437288467,146.65533273674026
4,EP011949,EP01,20.4,108.6,45,,,,,,Sys,292,1949-06-12 00:00:00,94.48588106410246,241.1412138008427
5,EP011949,EP01,20.5,109.4,45,,,,,,Sys,266,1949-06-12 06:00:00,84.08817187370813,325.2293856745508
6,EP011949,EP01,20.6,110.2,45,,,,,,Sys,245,1949-06-12 12:00:00,84.03427655774647,409.2636622322973
0,EP021949,EP02,14.1,107.0,45,,,,,,Sys,591,1949-06-17 12:00:00,0,0
1,EP021949,EP02,14.6,107.7,45,,,,,,Sys,586,1949-06-17 18:00:00,93.68784142591967,93.68784142591967
2,EP021949,EP02,15.0,108.4,45,,,,,,Sys,590,1949-06-18 00:00:00,87.41543336838895,181.10327479430862
3,EP021949,EP02,15.4,109.2,45,,,,,,Sys,614,1949-06-18 06:00:00,96.6822360656405,277.7855108599491
4,EP021949,EP02,15.7,110.0,45,,,,,,Sys,657,1949-06-18 12:00:00,91.96331289152562,369.74882375147473
5,EP021949,EP02,16.0,110.8,45,,,,,,Sys,705,1949-06-18 18:00:00,91.84586794993751,461.5946917014122
6,EP021949,EP02,16.3,111.6,45,,,,,,Sys,739,1949-06-19 00:00:00,91.72626037377485,553.320952075187
7,EP021949,EP02,16.7,112.3,45,,,,,,Sys,716,1949-06-19 06:00:00,86.87969319095218,640.2006452661392
8,EP021949,EP02,17.1,112.9,45,,,,,,Sys,698,1949-06-19 12:00:00,77.80281231290931,718.0034575790485
9,EP021949,EP02,17.5,113.5,45,,,,,,Sys,687,1949-06-19 18:00:00,77.6904803444092,795.6939379234577
10,EP021949,EP02,18.0,114.1,45,,,,,,Sys,677,1949-06-20 00:00:00,84.43052082777999,880.1244587512377
11,EP021949,EP02,18.4,114.6,45,,,,,,Sys,677,1949-06-20 06:00:00,69.04940262915338,949.1738613803911
12,EP021949,EP02,18.9,115.1,45,,,,,,Sys,676,1949-06-20 12:00:00,76.59009679155511,1025.7639581719463
13,EP021949,EP02,19.4,115.6,45,,,,,,Sys,675,1949-06-20 18:00:00,76.48208801620952,1102.2460461881558
14,EP021949,EP02,19.9,116.0,45,,,,,,Sys,649,1949-06-21 00:00:00,69.61077629610851,1171.8568224842643
15,EP021949,EP02,20.4,116.4,45,,,,,,Sys,630,1949-06-21 06:00:00,69.53135524861244,1241.3881777328768
16,EP021949,EP02,21.0,116.7,45,,,,,,Sys,602,1949-06-21 12:00:00,73.65395820879854,1315.0421359416753
17,EP021949,EP02,21.5,117.1,45,,,,,,Sys,597,1949-06-21 18:00:00,69.35051208166615,1384.3926480233415
18,EP021949,EP02,22.0,117.5,45,,,,,,Sys,600,1949-06-22 00:00:00,69.26557262233293,1453.6582206456744
19,EP021949,EP02,22.5,117.8,45,,,,,,Sys,601,1949-06-22 06:00:00,63.59498421880187,1517.2532048644762
20,EP021949,EP02,23.1,118.0,45,,,,,,Sys,573,1949-06-22 12:00:00,69.79586720822516,1587.0490720727014
21,EP021949,EP02,23.9,118.0,45,,,,,,Sys,507,1949-06-22 18:00:00,88.9560641868261,1676.0051362595275
22,EP021949,EP02,24.7,117.7,45,,,,,,Sys,422,1949-06-23 00:00:00,94.00799619415007,1770.0131324536776
23,EP021949,EP02,25.4,117.4,45,,,,,,Sys,343,1949-06-23 06:00:00,83.49733882260996,1853.5104712762875
