lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,derived_distance
13.0,-21.3,,-90,16,1008,46,0,,46,,75,,,,1957-09-02 06:00:00,N_3,0.0
13.0,-22.2,,-90,16,1007,46,0,,46,,74,,,,1957-09-02 12:00:00,N_3,97.51059104763743
13.0,-23.1,,-90,16,1007,46,0,,46,,71,,,,1957-09-02 18:00:00,N_3,97.51059104763777
13.1,-24.0,,-83,16,1006,46,0,,46,,53,,,,1957-09-03 00:00:00,N_3,98.12297287277926
13.4,-25.0,,-73,19,1005,56,0,,56,,72,,,,1957-09-03 06:00:00,N_3,113.25880191690611
13.7,-25.9,,-71,17,1002,65,0,,65,,61,,,,1957-09-03 12:00:00,N_3,102.84993547846233
13.9,-26.8,,-77,17,1003,65,0,,65,,61,,,,1957-09-03 18:00:00,N_3,99.69869205445627
14.1,-27.7,,-77,17,1003,74,0,,74,,61,,,,1957-09-04 00:00:00,N_3,99.61688772658485
14.3,-28.6,,-77,17,1002,83,0,,83,,53,,,,1957-09-04 06:00:00,N_3,99.53393364381492
14.5,-29.6,,-78,18,999,93,0,,93,,47,,,,1957-09-04 12:00:00,N_3,109.97360541916741
14.5,-30.6,,-90,18,995,102,0,,102,,52,,,,1957-09-04 18:00:00,N_3,107.65316888892728
14.5,-31.6,,-90,18,990,111,0,,111,,46,,,,1957-09-05 00:00:00,N_3,107.6531688889266
14.5,-32.6,,-90,18,986,120,0,,120,,39,,,,1957-09-05 06:00:00,N_3,107.65316888892728
14.7,-33.6,,-78,18,984,130,0,,130,,31,,,,1957-09-05 12:00:00,N_3,109.87842910310752
14.9,-34.6,,-78,18,982,139,0,,139,,29,,,,1957-09-05 18:00:00,N_3,109.7819723379557
15.1,-35.6,,-78,18,976,148,0,,148,,39,,,,1957-09-06 00:00:00,N_3,109.68423645334938
15.4,-36.6,,-73,19,976,148,0,,148,,35,,,,1957-09-06 06:00:00,N_3,112.34612662229684
15.7,-37.5,,-71,17,972,157,0,,157,,39,,,,1957-09-06 12:00:00,N_3,102.02019489647701
15.9,-38.3,,-75,15,964,176,0,,176,,36,,,,1957-09-06 18:00:00,N_3,88.43687754145245
16.1,-39.1,,-75,15,959,185,0,,185,,37,,,,1957-09-07 00:00:00,N_3,88.354543871038
16.4,-40.0,,-71,17,955,194,0,,194,,38,,,,1957-09-07 06:00:00,N_3,101.70370303332724
16.7,-41.0,,-72,19,951,204,0,,204,,43,,,,1957-09-07 12:00:00,N_3,111.68630088165148
17.0,-42.0,,-72,19,949,213,0,,213,,53,,,,1957-09-07 18:00:00,N_3,111.52663882004833
17.4,-42.9,,-65,18,945,222,0,,222,,57,,,,1957-09-08 00:00:00,N_3,105.44001424565023
17.7,-43.7,,-68,15,945,222,0,,222,,64,,,,1957-09-08 06:00:00,N_3,91.13963659076977
17.9,-44.5,,-75,15,945,222,0,,222,,72,,,,1957-09-08 12:00:00,N_3,87.56855015192906
18.0,-45.2,,-81,12,945,222,0,,222,,80,,,,1957-09-08 18:00:00,N_3,74.87810404863691
18.1,-46.1,,-83,16,946,213,0,,213,,96,,,,1957-09-09 00:00:00,N_3,95.79791499425106
18.3,-47.2,,-79,20,957,194,0,,194,,46,,,,1957-09-09 06:00:00,N_3,118.30425004203462
18.7,-48.2,,-67,19,967,176,0,,176,,38,,,,1957-09-09 12:00:00,N_3,114.44510630062138
19.1,-49.1,,-65,17,975,157,0,,157,,42,,,,1957-09-09 18:00:00,N_3,104.60657511195498
19.4,-49.9,,-68,15,976,148,0,,148,,59,,,,1957-09-10 00:00:00,N_3,90.36485754725446
19.7,-50.7,,-68,15,977,139,0,,139,,83,,,,1957-09-10 06:00:00,N_3,90.22108885487175
19.9,-51.4,,-73,13,985,130,0,,130,,69,,,,1957-09-10 12:00:00,N_3,76.53699726431076
20.1,-52.0,,-70,11,988,120,0,,120,,71,,,,1957-09-10 18:00:00,N_3,66.52098339832244
20.3,-52.3,,-55,6,985,120,0,,120,,80,,,,1957-09-11 00:00:00,N_3,38.4016180470063
20.6,-52.4,,-17,6,985,120,0,,120,,74,,,,1957-09-11 06:00:00,N_3,34.94768477675473
20.9,-52.4,,0,6,984,120,0,,120,,73,,,,1957-09-11 12:00:00,N_3,33.358524070059566
21.2,-52.4,,0,6,978,130,0,,130,,85,,,,1957-09-11 18:00:00,N_3,33.35852407006027
21.6,-52.4,,0,7,972,148,0,,148,,75,,,,1957-09-12 00:00:00,N_3,44.478032093413226
22.1,-52.5,,-10,9,969,157,0,,157,,67,,,,1957-09-12 06:00:00,N_3,56.54734538243742
