lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,hour,day,month,derived_distance
15.5,-38.0,,-86,25,1008,46,0,,46,,72,,,,2012-09-10 12:00:00,G_7,12,0,9,0.0
15.6,-39.4,,-86,25,1007,46,0,,46,,77,,,,2012-09-10 18:00:00,G_7,18,0,9,150.3863480682465
15.8,-40.8,,-81,25,1007,46,0,,46,,87,,,,2012-09-11 00:00:00,G_7,0,1,9,151.50593411666313
16.0,-41.9,,-79,20,1007,46,0,,46,,87,,,,2012-09-11 06:00:00,G_7,6,1,9,119.7184859223338
16.4,-42.8,,-65,18,1006,56,0,,56,,96,,,,2012-09-11 12:00:00,G_7,12,1,9,105.89530884706755
16.9,-43.7,,-60,18,1006,56,0,,56,,110,,,,2012-09-11 18:00:00,G_7,18,1,9,110.8328137583436
17.5,-44.8,,-60,22,1004,65,0,,65,,119,,,,2012-09-12 00:00:00,G_7,0,2,9,134.54961764029613
18.1,-45.9,,-60,22,1001,83,0,,83,,92,,,,2012-09-12 06:00:00,G_7,6,2,9,134.2152572283586
18.8,-47.1,,-58,25,997,93,0,,93,,37,,,,2012-09-12 12:00:00,G_7,12,2,9,148.59202521261406
19.5,-48.3,,-58,25,994,102,0,,102,,37,,,,2012-09-12 18:00:00,G_7,18,2,9,148.14474113827617
20.2,-49.5,,-58,25,990,111,0,,111,,28,,,,2012-09-13 00:00:00,G_7,0,3,9,147.68198116914613
21.0,-50.6,,-52,24,990,111,0,,111,,28,,,,2012-09-13 06:00:00,G_7,6,3,9,144.98842716749013
22.0,-51.7,,-45,27,990,111,0,,111,,28,,,,2012-09-13 12:00:00,G_7,12,3,9,159.10713211703046
23.2,-52.6,,-35,27,989,111,0,,111,,28,,,,2012-09-13 18:00:00,G_7,18,3,9,162.29669161176463
24.4,-53.4,,-31,26,989,111,0,,111,,28,,,,2012-09-14 00:00:00,G_7,0,4,9,156.29710894102175
25.6,-54.0,,-24,24,987,111,0,,111,,28,,,,2012-09-14 06:00:00,G_7,6,4,9,146.4943350546236
27.0,-54.0,,0,26,986,111,0,,111,,28,,,,2012-09-14 12:00:00,G_7,12,4,9,155.67311232694593
28.3,-53.7,,11,25,984,120,0,,120,,28,,,,2012-09-14 18:00:00,G_7,18,4,9,147.54259029258878
29.6,-53.3,,15,25,981,130,0,,130,,37,,,,2012-09-15 00:00:00,G_7,0,5,9,149.70102794897676
30.5,-52.2,,46,24,980,130,0,,130,,37,,,,2012-09-15 06:00:00,G_7,6,5,9,145.6842593788733
30.8,-50.7,,77,25,980,130,0,,130,,37,,,,2012-09-15 12:00:00,G_7,12,5,9,147.31644031197027
30.8,-49.1,,90,25,980,130,0,,130,,37,,,,2012-09-15 18:00:00,G_7,18,5,9,152.8180814882216
30.7,-47.5,,94,26,981,130,0,,130,,37,,,,2012-09-16 00:00:00,G_7,0,6,9,153.30128625640478
30.6,-45.4,,93,34,984,120,0,,120,,37,,,,2012-09-16 06:00:00,G_7,6,6,9,201.1923155087028
30.6,-43.0,,89,38,985,120,0,,120,,37,,,,2012-09-16 12:00:00,G_7,12,6,9,229.70031693584488
30.8,-40.6,,84,38,985,120,0,,120,,37,,,,2012-09-16 18:00:00,G_7,18,6,9,230.53776823682108
31.1,-38.8,,79,29,986,111,0,,111,,56,,,,2012-09-17 00:00:00,G_7,0,0,9,174.86203605241005
31.7,-37.1,,67,29,987,111,0,,111,,74,,,,2012-09-17 06:00:00,G_7,6,0,9,174.59482485050475
32.5,-35.9,,51,24,988,102,0,,102,,74,,,,2012-09-17 12:00:00,G_7,12,0,9,143.83843821220265
33.1,-35.1,,48,17,988,102,0,,102,,74,,,,2012-09-17 18:00:00,G_7,18,0,9,100.21027349514776
33.5,-34.5,,51,12,989,93,0,,93,,74,,,,2012-09-18 00:00:00,G_7,0,1,9,71.32829277869509
33.9,-33.9,,51,12,989,93,0,,93,,93,,,,2012-09-18 06:00:00,G_7,6,1,9,71.1274951688695
34.3,-33.3,,51,12,989,93,0,,93,,93,,,,2012-09-18 12:00:00,G_7,12,1,9,70.92495364830972
34.9,-32.7,,39,14,989,93,0,,93,,130,,,,2012-09-18 18:00:00,G_7,18,1,9,86.4117510904891
35.5,-32.3,,28,13,989,93,0,,93,,130,,,,2012-09-19 00:00:00,G_7,0,2,9,75.97428146838624
36.1,-32.0,,22,12,989,93,0,,93,,130,,,,2012-09-19 06:00:00,G_7,6,2,9,71.99422268193264
36.7,-32.0,,0,11,989,93,0,,93,,130,,,,2012-09-19 12:00:00,G_7,12,2,9,66.71704814011983
37.1,-32.0,,0,7,987,93,0,,93,,130,,,,2012-09-19 18:00:00,G_7,18,2,9,44.478032093413226
37.2,-31.6,,72,6,986,93,0,,93,,194,,,,2012-09-20 00:00:00,G_7,0,3,9,37.15443713047354
36.9,-30.9,,118,12,986,93,0,,93,,194,,,,2012-09-20 06:00:00,G_7,6,3,9,70.51176887271183
36.5,-30.0,,119,15,986,93,0,,93,,194,,,,2012-09-20 12:00:00,G_7,12,3,9,91.74061294913214
36.2,-29.0,,110,16,984,102,0,,102,,185,,,,2012-09-20 18:00:00,G_7,18,3,9,95.56812928652914
35.9,-28.2,,115,13,984,102,0,,102,,130,,,,2012-09-21 00:00:00,G_7,0,4,9,79.2805551808558
35.4,-27.4,,127,15,984,102,0,,102,,130,,,,2012-09-21 06:00:00,G_7,6,4,9,91.19264411738985
34.6,-27.3,,174,15,984,93,0,,93,,130,,,,2012-09-21 12:00:00,G_7,12,4,9,89.42116094224254
33.6,-27.2,,175,19,984,93,0,,93,,130,,,,2012-09-21 18:00:00,G_7,18,4,9,111.57562942112482
32.5,-26.9,,167,21,985,83,0,,83,,130,,,,2012-09-22 00:00:00,G_7,0,5,9,125.46958994729832
31.8,-26.7,,166,13,986,83,0,,83,,130,,,,2012-09-22 06:00:00,G_7,6,5,9,80.08148895450024
31.0,-26.4,,162,16,987,83,0,,83,,130,,,,2012-09-22 12:00:00,G_7,12,5,9,93.40169046597264
30.5,-26.2,,161,10,987,83,0,,83,,130,,,,2012-09-22 18:00:00,G_7,18,5,9,58.790846452905626
30.4,-25.9,,111,5,987,83,0,,83,,102,,,,2012-09-23 00:00:00,G_7,0,6,9,30.83233624350827
30.4,-25.6,,90,5,987,93,0,,93,,65,,,,2012-09-23 06:00:00,G_7,6,6,9,28.772174578755155
30.6,-25.4,,41,5,987,93,0,,93,,56,,,,2012-09-23 12:00:00,G_7,12,6,9,29.355527105487155
30.9,-25.8,,-49,8,988,93,0,,93,,56,,,,2012-09-23 18:00:00,G_7,18,6,9,50.73372486911287
31.1,-26.2,,-60,7,990,83,0,,83,,93,,,,2012-09-24 00:00:00,G_7,0,0,9,44.13721293785408
31.3,-26.7,,-65,9,992,83,0,,83,,93,,,,2012-09-24 06:00:00,G_7,6,0,9,52.49907090320851
31.5,-27.4,,-71,12,995,83,0,,83,,93,,,,2012-09-24 12:00:00,G_7,12,0,9,70.06057956735238
31.8,-28.1,,-63,12,996,83,0,,83,,74,,,,2012-09-24 18:00:00,G_7,18,0,9,74.18305442646388
32.1,-28.8,,-63,12,996,74,0,,74,,74,,,,2012-09-25 00:00:00,G_7,0,1,9,73.99129200491292
32.1,-29.5,,-90,11,996,74,0,,74,,74,,,,2012-09-25 06:00:00,G_7,6,1,9,65.93693720943725
32.0,-29.9,,-106,7,997,74,0,,74,,74,,,,2012-09-25 12:00:00,G_7,12,1,9,39.304582285056405
31.7,-30.1,,-150,6,997,74,0,,74,,74,,,,2012-09-25 18:00:00,G_7,18,1,9,38.33590868025645
31.4,-30.3,,-150,6,998,74,0,,74,,74,,,,2012-09-26 00:00:00,G_7,0,2,9,38.366096773012316
31.1,-30.4,,-164,6,998,74,0,,74,,111,,,,2012-09-26 06:00:00,G_7,6,2,9,34.68657542285424
30.7,-30.5,,-168,8,995,83,0,,83,,74,,,,2012-09-26 12:00:00,G_7,12,2,9,45.4898911909978
30.2,-30.7,,-161,10,993,93,0,,93,,74,,,,2012-09-26 18:00:00,G_7,18,2,9,58.81014295743425
29.6,-31.0,,-156,12,993,93,0,,93,,74,,,,2012-09-27 00:00:00,G_7,0,3,9,72.71466458355827
29.1,-31.4,,-145,11,993,93,0,,93,,74,,,,2012-09-27 06:00:00,G_7,6,3,9,67.7797551016815
28.7,-31.9,,-132,11,993,93,0,,93,,74,,,,2012-09-27 12:00:00,G_7,12,3,9,65.93481602539192
28.5,-32.5,,-111,10,993,102,0,,102,,56,,,,2012-09-27 18:00:00,G_7,18,3,9,62.65587359279658
28.5,-33.2,,-90,11,993,102,0,,102,,56,,,,2012-09-28 00:00:00,G_7,0,4,9,68.40400068538325
28.7,-33.9,,-72,12,991,111,0,,111,,56,,,,2012-09-28 06:00:00,G_7,6,4,9,71.86650032786949
29.2,-34.4,,-41,12,988,120,0,,120,,46,,,,2012-09-28 12:00:00,G_7,12,4,9,73.87758016431982
29.7,-34.8,,-35,11,988,120,0,,120,,46,,,,2012-09-28 18:00:00,G_7,18,4,9,67.7579646804383
30.5,-35.3,,-28,17,988,120,0,,120,,46,,,,2012-09-29 00:00:00,G_7,0,5,9,101.12734624321862
31.4,-35.7,,-21,18,988,120,0,,120,,46,,,,2012-09-29 06:00:00,G_7,6,5,9,107.09857313963893
32.6,-36.1,,-16,23,988,120,0,,120,,37,,,,2012-09-29 12:00:00,G_7,12,5,9,138.66255790047472
